Dimension,Entropy,Cinternal,Cexternal
45.0,0.9969698,0.4,0.05
45.0,0.9976426,0.4,0.01
65.0,0.99783766,0.45,0.1
45.0,0.9975849,0.45,0.05
47.0,0.9979241,0.45,0.01
32.0,0.9974249,0.3,0.1
39.0,0.99843675,0.3,0.05
30.0,0.9981055,0.3,0.01
39.0,0.9978377,0.35,0.1
45.0,0.996598,0.35,0.05
41.0,0.9974291,0.35,0.01
53.0,0.9964336,0.4,0.1
54.0,0.99765545,0.4,0.05
52.0,0.9972075,0.4,0.01
55.0,0.9970555,0.45,0.1
58.0,0.99644005,0.45,0.05
56.0,0.99743533,0.45,0.01
44.0,0.9976859,0.3,0.1
33.0,0.99737114,0.3,0.05
29.0,0.9983555,0.3,0.01
49.0,0.9960716,0.35,0.1
44.0,0.99694884,0.35,0.05
35.0,0.997856,0.35,0.01
54.0,0.9973998,0.4,0.1
46.0,0.99674183,0.4,0.05
41.0,0.997666,0.4,0.01
28.0,0.99789596,0.45,0.1
56.0,0.9967073,0.45,0.05
38.0,0.9981137,0.45,0.01
53.0,0.99787915,0.3,0.1
40.0,0.9980521,0.3,0.05
23.0,0.9981647,0.3,0.01
50.0,0.9974583,0.35,0.1
48.0,0.9973406,0.35,0.05
32.0,0.9980667,0.35,0.01
63.0,0.9981848,0.4,0.1
52.0,0.996519,0.4,0.05
35.0,0.9963253,0.4,0.01
58.0,0.9964067,0.45,0.1
55.0,0.99713385,0.45,0.05
49.0,0.9975665,0.45,0.01
50.0,0.9965231,0.3,0.1
36.0,0.9978015,0.3,0.05
26.0,0.9979445,0.3,0.01
48.0,0.996337,0.35,0.1
46.0,0.9964952,0.35,0.05
45.0,0.99731034,0.35,0.01
64.0,0.99820185,0.4,0.1
52.0,0.9977472,0.4,0.05
45.0,0.99768865,0.4,0.01
63.0,0.99782723,0.45,0.1
58.0,0.9979453,0.45,0.05
51.0,0.9974698,0.45,0.01
43.0,0.99809897,0.3,0.1
27.0,0.9983076,0.3,0.05
24.0,0.9987899,0.3,0.01
57.0,0.9978194,0.35,0.1
37.0,0.9978791,0.35,0.05
28.0,0.9986723,0.35,0.01
62.0,0.9978618,0.4,0.1
50.0,0.9972745,0.4,0.05
41.0,0.9972798,0.4,0.01
50.0,0.9960248,0.45,0.1
52.0,0.9972385,0.45,0.05
53.0,0.9976696,0.45,0.01
37.0,0.9970756,0.3,0.1
32.0,0.99810106,0.3,0.05
25.0,0.99741113,0.3,0.01
48.0,0.9981964,0.35,0.1
35.0,0.99798334,0.35,0.05
38.0,0.9979956,0.35,0.01
60.0,0.99787873,0.4,0.1
47.0,0.9980412,0.4,0.05
41.0,0.9972951,0.4,0.01
58.0,0.996447,0.45,0.1
53.0,0.99623674,0.45,0.05
53.0,0.99778926,0.45,0.01
35.0,0.99694717,0.3,0.1
39.0,0.9982773,0.3,0.05
30.0,0.9985094,0.3,0.01
42.0,0.9966476,0.35,0.1
37.0,0.9973406,0.35,0.05
47.0,0.99764156,0.35,0.01
58.0,0.99715555,0.4,0.1
50.0,0.99786365,0.4,0.05
37.0,0.9981036,0.4,0.01
31.0,0.9979888,0.45,0.1
63.0,0.9980691,0.45,0.05
51.0,0.99716026,0.45,0.01
35.0,0.99726504,0.3,0.1
35.0,0.9973015,0.3,0.05
33.0,0.9978274,0.3,0.01
59.0,0.99797505,0.35,0.1
45.0,0.99773526,0.35,0.05
39.0,0.99737835,0.35,0.01
62.0,0.9967899,0.4,0.1
39.0,0.9960641,0.4,0.05
47.0,0.9958002,0.4,0.01
57.0,0.9964941,0.45,0.1
44.0,0.9975834,0.45,0.05
46.0,0.99734825,0.45,0.01
46.0,0.9967622,0.3,0.1
31.0,0.9979811,0.3,0.05
35.0,0.998237,0.3,0.01
49.0,0.99784327,0.35,0.1
37.0,0.997658,0.35,0.05
32.0,0.99754995,0.35,0.01
52.0,0.99614215,0.4,0.1
55.0,0.99764997,0.4,0.05
47.0,0.99747294,0.4,0.01
58.0,0.9969,0.45,0.1
30.0,0.99771804,0.45,0.05
56.0,0.9978796,0.45,0.01
43.0,0.9976928,0.3,0.1
31.0,0.9984861,0.3,0.05
25.0,0.9971943,0.3,0.01
47.0,0.99635446,0.35,0.1
48.0,0.99760395,0.35,0.05
42.0,0.9973508,0.35,0.01
60.0,0.9979441,0.4,0.1
42.0,0.9977843,0.4,0.05
51.0,0.99761236,0.4,0.01
61.0,0.9976231,0.45,0.1
